Common Name,Scientific Name,Area,Group,Recovery Document Date,Status,Region,Recovery Actions
Fisher,Pekania pennanti,SSN DPS,Mammals,2020-06-17,E,California/Nevada Region,
Grizzly bear,Ursus arctos horribilis,"U.S.A., conterminous (lower 48) States, except where listed as an experimental population",Mammals,2013-05-03,T,Mountain-Prairie Region,329.0
Grizzly bear,Ursus arctos horribilis,"U.S.A., conterminous (lower 48) States, except where listed as an experimental population",Mammals,2013-05-03,T,Mountain-Prairie Region,329.0
Grizzly bear,Ursus arctos horribilis,"U.S.A., conterminous (lower 48) States, except where listed as an experimental population",Mammals,1996-09-11,T,Mountain-Prairie Region,329.0
Grizzly bear,Ursus arctos horribilis,"U.S.A., conterminous (lower 48) States, except where listed as an experimental population",Mammals,1997-06-23,T,Mountain-Prairie Region,329.0
Grizzly bear,Ursus arctos horribilis,"U.S.A., conterminous (lower 48) States, except where listed as an experimental population",Mammals,2007-03-13,T,Mountain-Prairie Region,329.0
Grizzly bear,Ursus arctos horribilis,"U.S.A., conterminous (lower 48) States, except where listed as an experimental population",Mammals,2018-05-16,T,Mountain-Prairie Region,329.0
Grizzly bear,Ursus arctos horribilis,"U.S.A., conterminous (lower 48) States, except where listed as an experimental population",Mammals,2017-05-04,T,Mountain-Prairie Region,329.0
Virginia big-eared bat,Corynorhinus (=Plecotus) townsendii virginianus,Wherever found,Mammals,2019-08-06,E,Northeast Region,45.0
Amargosa vole,Microtus californicus scirpensis,Wherever found,Mammals,2019-12-10,E,California/Nevada Region,38.0
Silver rice rat,Oryzomys palustris natator,lower FL Keys,Mammals,2019-11-07,E,Southeast Region,48.0
Key Largo cotton mouse,Peromyscus gossypinus allapaticola,Wherever found,Mammals,2019-11-07,E,Southeast Region,53.0
Key Largo woodrat,Neotoma floridana smalli,Wherever found,Mammals,2019-11-07,E,Southeast Region,54.0
Choctawhatchee beach mouse,Peromyscus polionotus allophrys,Wherever found,Mammals,2019-12-09,E,Southeast Region,42.0
Perdido Key beach mouse,Peromyscus polionotus trissyllepsis,Wherever found,Mammals,2019-12-09,E,Southeast Region,50.0
Alabama beach mouse,Peromyscus polionotus ammobates,Wherever found,Mammals,2019-09-26,E,Southeast Region,38.0
